"","time","well","row","col","value","condition"
"1","0","A1","A","1","100","A"
"2","0","A2","A","2","100","A"
"3","0","A3","A","3","100","A"
"4","0","A4","A","4","100","B"
"5","0","A5","A","5","100","B"
"6","0","A6","A","6","100","B"
"7","0","A7","A","7","100","C"
"8","0","A8","A","8","100","C"
"9","0","A9","A","9","100","C"
"10","0.333333333333333","A1","A","1","100.352112676056","A"
"11","0.333333333333333","A2","A","2","101.223776223776","A"
"12","0.333333333333333","A3","A","3","100.518134715026","A"
"13","0.333333333333333","A4","A","4","101.896551724138","B"
"14","0.333333333333333","A5","A","5","101.194539249147","B"
"15","0.333333333333333","A6","A","6","101.408450704225","B"
"16","0.333333333333333","A7","A","7","101.215277777778","C"
"17","0.333333333333333","A8","A","8","101.340033500838","C"
"18","0.333333333333333","A9","A","9","101.198630136986","C"
"19","0.666666666666667","A1","A","1","101.232394366197","A"
"20","0.666666666666667","A2","A","2","102.272727272727","A"
"21","0.666666666666667","A3","A","3","101.727115716753","A"
"22","0.666666666666667","A4","A","4","103.620689655172","B"
"23","0.666666666666667","A5","A","5","103.071672354949","B"
"24","0.666666666666667","A6","A","6","103.345070422535","B"
"25","0.666666666666667","A7","A","7","103.472222222222","C"
"26","0.666666666666667","A8","A","8","103.350083752094","C"
"27","0.666666666666667","A9","A","9","103.595890410959","C"
"28","1","A1","A","1","101.584507042254","A"
"29","1","A2","A","2","102.797202797203","A"
"30","1","A3","A","3","102.245250431779","A"
"31","1","A4","A","4","105","B"
"32","1","A5","A","5","103.924914675768","B"
"33","1","A6","A","6","104.577464788732","B"
"34","1","A7","A","7","105.555555555556","C"
"35","1","A8","A","8","105.192629815745","C"
"36","1","A9","A","9","105.479452054795","C"
"37","1.33333333333333","A1","A","1","101.584507042254","A"
"38","1.33333333333333","A2","A","2","102.972027972028","A"
"39","1.33333333333333","A3","A","3","102.59067357513","A"
"40","1.33333333333333","A4","A","4","106.034482758621","B"
"41","1.33333333333333","A5","A","5","104.948805460751","B"
"42","1.33333333333333","A6","A","6","105.633802816901","B"
"43","1.33333333333333","A7","A","7","106.770833333333","C"
"44","1.33333333333333","A8","A","8","106.532663316583","C"
"45","1.33333333333333","A9","A","9","106.164383561644","C"
"46","1.66666666666667","A1","A","1","100.176056338028","A"
"47","1.66666666666667","A2","A","2","102.447552447552","A"
"48","1.66666666666667","A3","A","3","101.554404145078","A"
"49","1.66666666666667","A4","A","4","105.862068965517","B"
"50","1.66666666666667","A5","A","5","104.948805460751","B"
"51","1.66666666666667","A6","A","6","105.457746478873","B"
"52","1.66666666666667","A7","A","7","107.638888888889","C"
"53","1.66666666666667","A8","A","8","106.867671691792","C"
"54","1.66666666666667","A9","A","9","106.849315068493","C"
"55","2","A1","A","1","99.2957746478873","A"
"56","2","A2","A","2","101.923076923077","A"
"57","2","A3","A","3","101.208981001727","A"
"58","2","A4","A","4","106.034482758621","B"
"59","2","A5","A","5","104.607508532423","B"
"60","2","A6","A","6","105.80985915493","B"
"61","2","A7","A","7","108.506944444444","C"
"62","2","A8","A","8","107.705192629816","C"
"63","2","A9","A","9","107.876712328767","C"
"64","2.33333333333333","A1","A","1","98.0633802816902","A"
"65","2.33333333333333","A2","A","2","100","A"
"66","2.33333333333333","A3","A","3","99.8272884283247","A"
"67","2.33333333333333","A4","A","4","104.48275862069","B"
"68","2.33333333333333","A5","A","5","103.58361774744","B"
"69","2.33333333333333","A6","A","6","104.929577464789","B"
"70","2.33333333333333","A7","A","7","107.986111111111","C"
"71","2.33333333333333","A8","A","8","107.202680067002","C"
"72","2.33333333333333","A9","A","9","107.36301369863","C"
"73","2.66666666666667","A1","A","1","95.9507042253521","A"
